product,cost_proxy,avg_unit_price,total_revenue,total_quantity,margin_estimate_percent,gap_to_20_percent
BOTTLE GOURD,30.52,37.21841530054645,242595.43,6567.0,17.997583310453575,2.0024166895464255
BRINTAN TOFU PANEER 200G,69.0,69.0,69.0,1.0,0.0,20.0
BRITANNIA MILK BIKIS 71GM,10.0,10.0,10.0,1.0,0.0,20.0
BROWN ANJEER BOX TURKEY,129.0,129.0,41151.0,319.0,0.0,20.0
BROWN CHANA 500g,65.0,65.0,7020.0,108.0,0.0,20.0
BROWN EGGS 6PC UPF HEALTHY U N V,99.0,96.84782608695652,5544.0,57.0,-2.222222222222228,22.22222222222223
BROWN RICE 5kg,395.0,395.0,4740.0,12.0,0.0,20.0
BROWN RICE HMT 1kg,85.0,85.0,4335.0,51.0,0.0,20.0
BUFFALO CURD 400g SIDS FARM,85.0,85.0,28815.0,339.0,0.0,20.0
BUFFALO GHEE 250g  VELLANKI FOODS,225.0,225.0,44775.0,199.0,0.0,20.0
BUFFALO GHEE 350g SIDS FARM,400.0,406.2162162162162,18230.0,45.0,1.5302727877578128,18.469727212242187
BUFFALO GHEE 500ml JIVIKA ORGANICS,499.0,499.0,998.0,2.0,0.0,20.0
BUSH BEANS,85.75,114.64371584699452,246068.31,2194.86,25.203052459985315,0.0
BUTTER GARLIC N HERBS 100g AMUL,65.0,68.50185185185185,5209.1,76.0,5.112054283474361,14.887945716525639
BUTTER MILK 170ML HERITAGE SACHET,10.0,10.0,200.0,20.0,0.0,20.0
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,20.0,20.0,3520.0,176.0,0.0,20.0
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,20.0,20.0,3320.0,166.0,0.0,20.0
BUTTER SCHOOL PACK 100g AMUL,75.0,74.1891891891892,3710.0,50.0,-1.0928961748633828,21.092896174863384
BUTTER UNSALTED 500G AMUL,295.0,304.45454545454544,3349.0,11.0,3.1054045983875733,16.894595401612428
BUTTON MUSHROOM,49.0,48.91469945355191,168699.54,3457.0,-0.17438632435856594,20.174386324358565
Banana Stem,29.0,29.0,5916.0,204.0,0.0,20.0
Banana Yalakki,129.81799999999998,137.39494505494505,224911.6,1637.34,5.514718938105769,14.48528106189423
