Product ID,Product Name,Current Category,AI-Suggested Category,multi_suggested_categories,confidence_score,mapping_status,reason,Final Category,Validation Status,Version,Generated At,product_revenue
SKU-B20A8CA64A,CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,unknown,Home Care,Home Care,100.0,auto,Matched keywords: carry bag,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,53298.0
SKU-10CBC4C939,CARRY BAG SML 1Kg HOLDING CAPACITY,unknown,Home Care,Home Care,100.0,auto,Matched keywords: carry bag,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,12.0
SKU-A5E18C90D6,CASHEW 320 COUNT 250 GM,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,1500.0
SKU-10F65D5067,CASHEW 320 KG FLYBERRY,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,34506.9
SKU-12FA5BA529,CASHEW BROKEN 2 PIECE  KGSFLYBERRY,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,25410.000000000004
SKU-4A9C003967,CASHEW TIKKA FLAVOUR FLYBERRY,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,12682.799999999997
SKU-2F4C9ECD35,CASHEW WITH CHOCO COATED FLYBERRY,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,233.2
SKU-CBB9652B3C,CDM CRACKLE 36G,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,50.0
SKU-50F9F1D747,CHAKKI ATTA GODHUMA PINDI 1Kg,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,520.0
SKU-11E4EBACD6,CHAMA DUMPA,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,38453.09
