product,total_revenue,abc_class
KAJJIKAYALU 250g VELLANKI FOODS,19015.0,C
FREEDOM SUNFLOWER OIL 5LT,18903.6,C
VITAMIN D3 IMMUNITY BOOSTER 30PC PACK ABHI EGGS,18900.0,C
DRIED BLUEBERRY KG FLYBERRY,18805.4,C
LOBIA,18712.45,C
KP MALABAR  PAROTA 5PC ID FRESH,18682.0,C
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,18420.0,C
BUFFALO GHEE 350g SIDS FARM,18230.0,C
MILKSHAKE CHOCOLATE 180ml EPIGAMIA,18150.4,C
TAMARIND SEEDLESS 500g SRI SIVA RUDRA EVR,17571.75,C
CURD 135g POUCH MILKY MIST,17530.0,C
LEAF ONION,17179.96,C
URAD ROUND UN POLISHED 1kg,17019.75,C
FREEDOM GROUNDNUTOIL 1LT,16962.0,C
BASMATHI RICE 1KG,16940.0,C
FlyberryBrazilNut,16905.0,C
COW GHEE 250G VELLANKI FOODS,16650.0,C
KOBBARI VUNDALU 250g VELLANKI FOODS,16120.0,C
AGMARK GHEE 500 ML HERITAGE,16110.0,C
BOORELU 250g VELLANKI FOODS,15735.0,C
ORGANIC-PROBIOTIC CURD AKSHAYAKALPA,15675.0,C
VELLANKI JOWARI FLAKES 250G,15528.45,C
KAJU PAKODI 250g VELLANKI FOODS,15420.0,C
SINGLE POLISH RICE 5Kg,15405.0,C
ICE BERG ENGLISH ITEM SAMBERRY,15235.21,C
WHEAT CHAPATI 390G 10PC ID FRESH,14929.0,C
ENG ITEM GREEN LETTUCE SAMBERRY,14676.64,C
