product,sales_velocity,turnover_proxy,total_quantity,total_revenue
CHERRY TOMATO KG RED SAMBERRY,0.1430701754385965,52.22061403508772,16.31,4324.5
CHERUKU GADDALU,30.0,10950.0,60.0,1920.0
CHERUKU RASALU KG LOOSE,6.0775,2218.2875,461.89,76365.67
CHIA SEEDS KGS FLYBERRY,0.06341040462427747,23.144797687861274,10.97,9326.2
CHICKEN BONE LESS PICKLE 250g VELLANKI FOODS,0.03508771929824561,12.807017543859649,6.0,2125.0
CHICKPEAS 50g FLYBERRY GOURMET,0.1875,68.4375,3.0,147.0
CHICOOS SAPOTA JUICE,0.2543352601156069,92.83236994219652,44.0,2640.0
CHICOOS(Sapota),1.686065573770492,615.4139344262295,308.55,25203.0
CHIKKUDU SEED PACK,0.04450292397660819,16.24356725146199,7.61,2284.98
CHIKKUDUKAI,5.577267759562841,2035.702732240437,1020.64,107260.2
CHIKKUDUKAYA PICKLE 250g AHA,0.01935483870967742,7.064516129032258,3.0,270.0
CHINNA RASALU KG LOOSE,14.577213114754098,5320.682786885246,889.21,123437.86
CHINTA CHIGURU,0.3476923076923077,126.9076923076923,58.76,27442.06
CHOCOLATE 150G HBD PACK AMUL,0.09803921568627451,35.78431372549019,15.0,3000.0
CHOCOLATE MILK SHAKE 180ML HERITAGE,1.4034090909090908,512.2443181818181,247.0,6424.0
CHOUSA MANGO KG LOOSE,2.5030434782608695,913.6108695652174,57.57,13006.95
CHOWCHOW,0.46056603773584903,168.1066037735849,24.41,1141.94
CINNAMON DALCHINI KG FLYBERRY,0.00784,2.8615999999999997,0.98,927.1999999999999
CLOVES 50g,0.3898305084745763,142.28813559322035,69.0,6210.0
CLUSTER BEANS,5.83568306010929,2130.024316939891,1067.93,63949.94
COCONUT,20.19672131147541,7371.803278688525,3696.0,162488.22
COCONUT KARAM 100G  VELLANKI FOODS,0.09022556390977443,32.932330827067666,12.0,772.0
COCONUT MANGO,4.84484375,1768.36796875,310.07,59162.729999999996
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,1.0,365.0,1.0,70.0
COCONUT SLICE KGS FLYBERRY,0.011200000000000002,4.088000000000001,1.4000000000000001,657.06
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,0.05027932960893855,18.35195530726257,9.0,2174.0
COKE 250ML,1.0625,387.8125,17.0,340.0
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,0.11428571428571428,41.714285714285715,4.0,2396.0
COLD PRESSED WHITE SESAME OIL 500ML MESMARA,0.13793103448275862,50.3448275862069,4.0,1400.0
COLOUR CUCUMBER,14.367486338797814,5244.132513661202,2629.25,95482.76
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,0.12345679012345678,45.06172839506173,10.0,1193.7
CONTINENTAL XTRA INSTANT SOUTH BLEND COFFEE 150g POUCH,0.07017543859649122,25.614035087719298,12.0,4258.0
COOKING BUTTER 100G MILKY MIST,0.4659090909090909,170.05681818181816,82.0,6141.75
COOKING BUTTER 100g AMUL UNSALTED,0.4444444444444444,162.2222222222222,40.0,2558.0
COOKING BUTTER 200G HERITAGE,0.17834394904458598,65.09554140127388,28.0,3630.0
COOKING BUTTER 500g HERITAGE,0.0893854748603352,32.625698324022345,16.0,5120.0
COOKING BUTTER UNSALTED 200g MILKY MIST,0.14838709677419354,54.16129032258064,23.0,3334.0
COOKING UNSALTED BUTTER 500g MILKY MIST,0.08888888888888889,32.44444444444444,16.0,5680.0
COPRA POWDER 100G EVR,0.24260355029585798,88.55029585798816,41.0,2136.75
CORIANDER,10.822295081967214,3950.1377049180333,1980.48,188619.91
CORIANDER 200g,0.569060773480663,207.70718232044197,103.0,6945.0
CORN FLAKES 200G EVR,0.12345679012345678,45.06172839506173,10.0,490.0
CORN FLAKES MIXTURE250g VELLANKI FOODS,1.1657458563535912,425.49723756906076,211.0,28884.7
CORN FLOUR 200g EVR,0.1111111111111111,40.55555555555555,9.0,342.0
COW GHEE 200ml JAR AMUL HIGH AROMA,0.2,73.0,36.0,5432.8
COW GHEE 250G VELLANKI FOODS,0.6491228070175439,236.9298245614035,74.0,16650.0
COW GHEE 350g SIDS FARM,0.275,100.37500000000001,44.0,22100.0
COW GHEE 500ml PET JAR MILKYMIST,0.022857142857142857,8.342857142857143,4.0,1692.0
COW MILK 500ML POUCH SIDS FARM,10.98360655737705,4009.016393442623,2010.0,83589.86
COW MILK 500ml GOLDEN HERITAGE,1.0,365.0,1.0,31.0
CREAMY COFFEE HAZELNUT 22g CONTINENTAL,0.4166666666666667,152.08333333333334,10.0,300.0
CRUNCHY BANANA CHIPS 100g FLYBERRY,0.05555555555555555,20.277777777777775,9.0,1125.0
CRUNCHY BANANA CHIPS 250g FLYBERRY,0.0449438202247191,16.40449438202247,4.0,1196.0
CRUNCHY BANANA CHIPS 65g FLYBERRY,0.16666666666666666,60.83333333333333,4.0,396.0
CUCUMBER,30.318907103825136,11066.401092896174,5548.36,218653.87
CUCUMBER WHITE,1.32,481.8,1.32,90.8
