product_name,current_category,layer_1_score
FRUIT BASKET 350 RAJU,fruits,0
GAJANAN TELANGANA SONA RICE 1Kg,,0
JIVIKA FOREST HONEY250ml,,0
BANANA FLOWER,fruits,0
KASURIMETHI 50G,,0
Raw Neem Honey 1000g BT,,0
LOW GI RICE 5KG AISHWARYA,,0
MODREN FRUITY BREAD 200G,,0
RED BULL CAN 250ml,,0
GONGURA PICKLE 250g VELLANKI FOODS,,0
MUSTARD SMALL 200g,,0
GAJANAN ORANGE PRM HMT RAW RICE 1Kg,fruits,0
chintakayalu,,0
Lotus Stem SAMBERRY,,0
JIVIKA TURMERIC POWDER 100GMS,,0
WHITE RAJMA 500g,,0
WHITE JOWAR 500g,,0
PULIHORA PASTE 250G VELLANKI FOODS,,0
Alubukhar LOOSE KG FLYBERRY,,0
SUGAR CANE PACK,,0
WOOD APPLE,fruits,0
IDLI KARAM 100g VELLANKI FOODS,,0
BANANAS 30g FLYBERRY GOURMET,,0
DIAMOND MISRI 200G,,0
NUTMEG 50G,,0
LITTLE MILLET SAMELU 500g,,0
ROMAIN LETTUCE KG ENGISH ITEM SAMBERRY,vegetables,0
MUSTARD BIG 200g,,0
DABBAKAI,,0
I.Orange Pack of 4,fruits,0
MANGO GINGER,fruits,0
HIMALAYAN HONEY 500g APIS,,0
MAIDA 1 KG,,0
RED CHILLI PICKLE 250G VELLANKI FOODS,vegetables,0
MAGAYA PICKLE 250GMS VELLANKI FOODS,,0
AASHIRVAD CORIANDER PWD 100G,vegetables,0
WHITE PAV 200g SPENCERS AKSHAYA FOODS,,0
AASHIRVAAD SALT 1KG,,0
RAW HONEY 950G BT ROYAL BEE PON,,0
CHICKEN BONE LESS PICKLE 250g VELLANKI FOODS,,0
COPRA POWDER 100G EVR,,0
PRM BROWN BREAD 400g MR BREADY NANDAS,,0
KODO MILLET ARIKALU 500G,,0
BIRYANI LEAFS 50G,,0
FRUIT BASKET 200 SADGURU,fruits,0
FRUIT BREAD 200g SML SPENCERS AKSHAYA NANDA,fruits,0
MODERN BANANA PUDDING  CAKE 140g,fruits,0
POOJA PATRI PACK,,0
CHERUKU GADDALU,,0
GUAVA Local,fruits,0
VELLANIKI BITTER GOURD PAKODA 150G,vegetables,0
YELLOW JOWAR 500g,,0
MODERN WOW PAV 200g,,0
BAJRA FLOUR 500G,,0
RUMANI MANGO KG LOOSE,fruits,0
AMLA PICKLE 250GMS VELLANKI FOODS,,0
MANGO MAGAYA  250g AHA,fruits,0
Raw Pappaya,,0
PALLI GROUND NUT KARAM 100g VELLANKI FOODS,,0
GINGER PICKLE 250g AHA,vegetables,0
IDLY RICE  1Kg,,0
simla mirchi bajji,,0
VELLANLI RAGI RIBBON PAKODI 150G,,0
AASHIRVAD CHILLI PWD 200G,vegetables,0
TEENDA,,0
AASHIRVAAD CRYSTAL SALT 1KG,,0
MANGO AVAKAYA 250g  AHA,fruits,0
GONGURA PICKLE 250g  AHA,,0
RED BANTHI POOLU KGS LOOSE,,0
TOMATO PICKLE  250g AHA,vegetables,0
YELLOW BANTHI POOLU KGS LOOSE,,0
AASHIRVAD TURMERIC PWD 100G,,0
PGB SOYA CHUNKS SMALL 200G,,0
SOYAKURA,,0
GAJANAN ORANGE PRM HMT RICE 1Kg,fruits,0
NANDA CRM BUN PINEAPPLE 60g,fruits,0
CHAMANTHI FLOWERS POOLU KG LOOSE,,0
FRUIT BASKET 250 RAJU,fruits,0
ENG ITEM CELERY SAMBERRRY,vegetables,0
FRUIT BOWL NRG,fruits,0
PGB SOYA CHUNKS 200G MEDIUM,,0
gangavyalukura,,0
AASHIRVAD CHILLI PWD 500G,vegetables,0
KARIVEPAKU KARAM 100g VELLANKI FOODS,,0
LIME PICKLE 250g VELLANKI FOODS,fruits,0
YELLOW DRAGON KG LOOSE,fruits,0
YELLOW MELON,,0
MAIDA 500g,,0
RED RICE 1KG,,0
TOMATO PICKLE 250G VELLANKI FOODS,vegetables,0
DRY COCONUT KG FLYBERRY,fruits,0
MAREDUKAYA KG LOOSE,,0
PANDUMIRAPAKAYA 250g PICKLE AHA,,0
CHOWCHOW,,0
RAW HONEY 500g BT ROYAL BEE PON,,0
KISMIS GREEN 250g,vegetables,0
JIVIKA CORIANDER POWDER 100GMS,vegetables,0
Tulsi Infused Honey 500g BT,,0
KANDI KARAM 100g  VELLANKI FOODS,,0
KNOOL COOL,,0
MILLET IDLY RAWA 500GMS SRI AHARYA,,0
POKCHOY LEAF SAMBERRY,,0
STAR FRUIT,fruits,0
MANGO AVAKAYA pPICKLE 500g AHA,fruits,0
URAD BLACK WHOLE 500G,,0
GINGER PICKLE 500g AHA,vegetables,0
MANGO MAGAYA 500g AHA,fruits,0
MULTIGRAIN HEALTH MIX 500GMS SRI AHARYA,,0
ROSE FLOWER POOLU KG LOOSE,,0
URAD BLACK SPLIT 500g,,0
MUKHWAS TINIMINI KG FLYBERRY,,0
AMLA PICKLE  250g AHA,,0
FRUIT BASKET 300 SADGURU,fruits,0
MULAGAKU KARAM 100g VELLANKI FOODS,,0
GONGURA PANDU MIRAPAKAYA PICKLE  500g AHA,,0
FRUIT BASKET 170 SADGURU,fruits,0
KOTHIMEERA CORIANDER KARAM 100g VELLANKI FOODS,vegetables,0
KURA KARAM 100g VELLANKI FOODS,,0
PRM CHITTIMUTYALU RICE 1KG GAJANAN,,0
SRI LALITHA BROWN RICE 5KG SONAMASOORI,,0
GONGURA PANDU MIRAPAKAYA PICKLE 250g  AHA,,0
LEMON PICKLE  250g AHA,fruits,0
TAMARIND PICKLE 250g AHA,,0
VINAYAKA VIGRAHAM 8 INCH,,0
BASIL LEAF KG ENGLISH ITEM SAMBERRY,,0
COCONUT KARAM 100G  VELLANKI FOODS,fruits,0
YELLOW JOWAR SORGHUM RAWA 500G SRI AHARYA,,0
JEERA PAPAD 200G EVR,,0
RASAM PODI 100g VELLANKI FOODS,,0
AMLA PICKLE  500g AHA,,0
FOXTAIL MILLET KORRALU BIYYAM 500g,,0
GARAM MASALA 100g VELLANKI FOODS,,0
LOW GI RICE 1Kg AISHWARYA,,0
FRUIT BASKET 200,fruits,0
COCONUT SLICE KGS FLYBERRY,fruits,0
IDLY RAWA 500g,,0
HEKATPY QUINO COOKIES 125g,,0
HEKTAPY HEALTHY DEL RAGI 125G,,0
HEKTAPY MULTI MILLET S.N,,0
IDLY KARAM FLYBERRY,,0
MILLETS UPMA RAWA 500GMS SRI AHARYA,,0
MODERN BURGER BUN,,0
FRUIT BASKET 120 SADGURU,fruits,0
IMLI POP KG FLYBERRY,,0
SRI LALITHA IDLY RAVA 1KG,,0
ELEPHANT FOREST HONEY 250G 1+1,,0
VINAYAKA VIGRAHAM 12 INCH,,0
SPROUTED RAGI FLOUR 500GMS SRI AHARYA,,0
GONGURA PICKLE 500g  AHA,,0
