product,unit_price,estimated_margin,total_revenue,quantity_sold,revenue_weight
CURD POUCH 400g MILKY MIST,41.93760233918129,0.30000000000000004,38764.0,929.0,0.0015265127379826674
CURD TUB 1KG HERITAGE,108.83446927374301,0.30000000000000004,98142.23,904.0,0.0038648066306115124
CURRY LEAVES,94.00524590163934,0.30000000000000004,59596.840000000004,635.03,0.002346902677832911
CUSTARD APPLE ANAND,272.8720930232558,0.3000000000000001,195140.17,725.49,0.0076845515219560205
DABBAKAI,50.06896551724138,0.30000000000000004,2415.0,48.0,9.510185383933913e-05
DALCHINI 50g,60.0,0.3,7080.0,118.0,0.00027880791933023645
DALMOTI 250g VELLANKI FOODS,151.91489361702128,0.3,20920.0,138.0,0.0008238222701113766
DAMPUDU BIYYAM 1Kg AISHWARYA,74.0,0.3,445.0,6.0,1.7523944082197064e-05
DARK CHOCOLATE 150g AMUL,200.0,0.3,2000.0,10.0,7.87592992458295e-05
DARK CHOCOLATE 150g BEST WISHES AMUL,192.25,0.3,3736.0,19.0,0.0001471223709912095
DASHERI MANGO KG LOOSE,214.0463,0.3000000000000001,173487.08,812.64,0.006831860424502581
DATE BITES 160g FLYBERRY,298.6785483870968,0.30000000000000004,46823.4,157.0,0.0018438890861535867
DATES POWDER 180g FLYBERRY,399.0,0.3000000000000001,1596.0,4.0,6.284992079817194e-05
DEHYDRATED GINGER  KGS FLYBERRY,1035.0,0.3,126.27,0.12,4.972468357885446e-06
DEHYDRATED KIWI KG FLYBERRY,870.0,0.3,1214.52,1.3800000000000001,4.782737206002242e-05
DEHYDRATED MANGO KG FLYBERRY,1250.0,0.3,3502.5,2.81,0.0001379272228042589
DEHYDRATED PAPAYA  KGS FLYBERRY,809.98,0.30000000000000004,173.34,0.21000000000000002,6.826068465636043e-06
DEHYDRATED PINEAPPLE KG FLYBERRY,1200.0,0.3,1922.4,1.59,7.570343843509132e-05
DERI DATES KG FLYBERRY,895.0,0.3,2215.8,2.4899999999999998,8.725742763445451e-05
DESI COW GHEE 500ml JIVIKA ORGANICS,999.0,0.30000000000000004,9990.0,10.0,0.00039340269973291836
DIAMOND MISRI 200G,37.407407407407405,0.3,2520.0,67.0,9.923671704974517e-05
