product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility,days_span,avg_days_between_sales,estimated_turnover
PERI PERI CASHEW FLYBERRY,0.33,0.16,0.08,0.22,575.1,2025-09-27,2025-09-28,2,0.5,1,0.5,0.05
PERSIMMON FRUIT,5.8,0.72,0.63,1.76,4298.29,2025-06-23,2025-07-20,8,0.875,27,3.375,0.10984848484848485
PGB SOYA CHUNKS 200G MEDIUM,18.0,1.29,0.47,2.0,1260.0,2025-04-09,2025-09-20,14,0.3643410852713178,164,11.714285714285714,0.3
PGB SOYA CHUNKS SMALL 200G,20.0,1.0,0.0,1.0,1400.0,2025-04-07,2025-09-22,20,0.0,168,8.4,0.6666666666666666
PHOOL MAKHANA 250g,1.0,1.0,,1.0,0.0,2025-04-13,2025-04-13,1,,0,0.0,0.03333333333333333
PINE APPLE,706.0,3.94,2.15,11.0,66681.0,2025-04-01,2025-09-30,179,0.5456852791878173,182,1.0167597765363128,2.139393939393939
PINE APPLE JUICE,70.0,1.56,0.94,5.0,6900.0,2025-04-01,2025-09-29,45,0.6025641025641025,181,4.022222222222222,0.4666666666666667
PINK LADY APPLE,648.13,4.03,2.53,17.23,236727.24,2025-04-07,2025-09-30,161,0.6277915632754342,176,1.093167701863354,1.2538788934029794
PISTA FLAVOURED MILK 200ML HERITAGE,236.0,2.34,1.5,7.0,7080.0,2025-04-01,2025-09-30,101,0.6410256410256411,182,1.801980198019802,1.1238095238095238
PISTA GREEN SHELLED KG FLYBERRY,10.14,0.18,0.21,1.58,27287.05,2025-04-06,2025-09-28,56,1.1666666666666667,175,3.125,0.21392405063291137
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,212.0,2.26,1.56,8.0,6330.0,2025-04-02,2025-09-28,94,0.6902654867256638,179,1.9042553191489362,0.8833333333333333
PLAIN CUP PAPAD 200G EVR,9.0,1.0,0.0,1.0,468.0,2025-04-09,2025-09-15,9,0.0,159,17.666666666666668,0.3
PLUMS LOCAL BOX ANAND,50.0,2.27,1.2,5.0,3554.0,2025-06-22,2025-08-24,22,0.5286343612334802,63,2.8636363636363638,0.3333333333333333
POHA MEDIUM 500g,212.0,1.86,1.06,6.0,11552.25,2025-04-03,2025-09-30,114,0.5698924731182796,180,1.5789473684210527,1.1777777777777778
POKCHOY LEAF SAMBERRY,4.66,0.22,0.06,0.32,1061.06,2025-04-07,2025-09-13,21,0.2727272727272727,159,7.571428571428571,0.4854166666666667
POMEGRANATE CANE,5.0,1.25,0.5,2.0,500.0,2025-08-23,2025-09-09,4,0.4,17,4.25,0.08333333333333333
POMEGRANATE JUICE,69.0,1.33,0.62,3.0,12420.0,2025-04-03,2025-09-30,52,0.46616541353383456,180,3.4615384615384617,0.7666666666666667
POMEGRANATE SEEDS,11.0,1.38,0.74,3.0,1089.0,2025-07-29,2025-09-09,8,0.5362318840579711,42,5.25,0.12222222222222222
PONAGANTI KURA,107.18,0.76,0.53,2.78,7518.32,2025-04-01,2025-09-30,141,0.6973684210526316,182,1.2907801418439717,1.2851318944844128
POOJA GINGELLY OIL 1LTR,22.0,1.22,0.43,2.0,5940.0,2025-06-27,2025-09-28,18,0.3524590163934426,93,5.166666666666667,0.36666666666666664
POOJA OIL 500ML,28.0,1.17,0.38,2.0,3892.0,2025-04-02,2025-09-28,24,0.3247863247863248,179,7.458333333333333,0.4666666666666667
POOJA PATRI PACK,59.0,29.5,9.19,36.0,1947.0,2025-08-26,2025-08-27,2,0.31152542372881353,1,0.5,0.05462962962962963
POPU SEEDS LOOSE,1.0,1.0,,1.0,100.0,2025-09-07,2025-09-07,1,,0,0.0,0.03333333333333333
POTATO,9951.98,54.38,16.09,118.8,487956.76,2025-04-01,2025-09-30,183,0.29588083854358216,182,0.994535519125683,2.792362514029181
POTATO CHIPS 200G EVR,10.0,1.11,0.33,2.0,680.0,2025-04-13,2025-06-01,9,0.29729729729729726,49,5.444444444444445,0.16666666666666666
PREMIUM FREEZE DIRED COFFEE 50gm JAR CONTINENTAL,4.0,1.0,0.0,1.0,1200.0,2025-05-07,2025-08-26,4,0.0,111,27.75,0.13333333333333333
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,784.0,3.53,2.19,11.0,43120.0,2025-04-01,2025-09-30,222,0.6203966005665723,182,0.8198198198198198,2.375757575757576
PREMIUM SANDWICH BREAD 400g SPENCERS AKSHAYA FOODS ENGLISH RECIPE,101.0,1.53,0.75,4.0,5555.0,2025-06-14,2025-09-30,66,0.49019607843137253,108,1.6363636363636365,0.8416666666666667
PRM BROWN BREAD 400g MR BREADY NANDAS,39.0,1.39,1.03,6.0,2145.0,2025-06-18,2025-09-23,28,0.7410071942446044,97,3.4642857142857144,0.21666666666666667
PRM CHITTIMUTYALU RICE 1KG GAJANAN,5.0,1.25,0.5,2.0,850.0,2025-06-15,2025-07-19,4,0.4,34,8.5,0.08333333333333333
PRM HMT RAW RICE 26KG BAG GAJANAN,24.0,1.09,0.29,2.0,43428.0,2025-04-04,2025-09-29,22,0.2660550458715596,178,8.090909090909092,0.4
PRM HMT RICE 26KG BAG GAJANAN,5.0,1.0,0.0,1.0,8210.0,2025-06-18,2025-09-03,5,0.0,77,15.4,0.16666666666666666
PROSO MILLET VARIGALU 500g,25.0,1.25,0.72,4.0,3750.0,2025-05-17,2025-09-22,20,0.576,128,6.4,0.20833333333333334
PUDHINA,556.6,3.04,1.59,7.8,35355.33,2025-04-01,2025-09-30,183,0.5230263157894737,182,0.994535519125683,2.3786324786324786
PULIHORA PASTE 250G VELLANKI FOODS,23.0,1.35,0.7,3.0,2665.0,2025-04-08,2025-09-29,17,0.5185185185185185,174,10.235294117647058,0.25555555555555554
PUMPKIN,1242.06,6.82,3.95,22.77,47868.92,2025-04-01,2025-09-30,182,0.5791788856304986,182,1.0,1.8182696530522615
