product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility
NARINJAAKAYA KG LOOSE,4.03,2.02,1.56,3.12,459.65,2025-08-26,2025-08-27,2,0.7722772277227723
NATU DONDAKAI,743.5,4.06,2.01,9.35,39005.01,2025-04-01,2025-09-30,183,0.49507389162561577
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,26.0,1.18,0.5,3.0,4030.0,2025-04-04,2025-09-28,22,0.42372881355932207
NATURAL CURD 450g SIDS FARM,1067.0,5.86,2.71,13.0,53340.0,2025-04-01,2025-09-30,182,0.462457337883959
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,85.0,1.33,0.71,5.0,9680.0,2025-04-02,2025-09-27,64,0.5338345864661653
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,97.0,1.76,1.29,9.0,4642.0,2025-04-13,2025-09-28,55,0.7329545454545455
NATURAL THICK CURD CUP 400g ID FRESH,14.0,1.17,0.39,2.0,1100.0,2025-04-08,2025-09-07,12,0.33333333333333337
NAVARATAN MIXTURE 250g VELLANKI FOODS,139.0,1.39,0.63,4.0,21785.0,2025-04-01,2025-09-28,100,0.45323741007194246
NEELAM MANGO Kg LOOSE,382.65,6.71,4.59,20.65,57965.95,2025-06-21,2025-08-31,57,0.684053651266766
NETHI BHERAKAI,341.48,2.03,1.17,6.28,19950.29,2025-04-01,2025-09-28,168,0.5763546798029557
NUTMEG 50G,31.0,1.11,0.31,2.0,2480.0,2025-04-14,2025-09-26,28,0.27927927927927926
NUTRI+ WITH IMMUNITY BOOSTERS - 30 EGGS TRAY ABHI EGGS,58.0,1.32,0.56,3.0,22910.0,2025-04-04,2025-09-29,44,0.42424242424242425
NUTRI+ WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,96.0,1.63,0.85,4.0,8064.0,2025-04-03,2025-09-25,59,0.5214723926380368
NUVVULA CHIKKI 250g VELLANKI FOODS,153.0,1.72,1.01,6.0,23915.0,2025-04-01,2025-09-29,89,0.5872093023255814
NUVVUNDALU 250g VELLANKI FOODS,78.0,1.1,0.3,2.0,12280.0,2025-04-02,2025-09-27,71,0.2727272727272727
OKRA CHIPS VACUUM FRIED 20g FLYBERRY,4.0,1.33,0.58,2.0,196.0,2025-09-21,2025-09-25,3,0.4360902255639097
OMANI SEEDLESS 250g FLYBERRY,35.0,1.13,0.34,2.0,5211.0,2025-06-06,2025-09-28,31,0.3008849557522124
ONION,13298.94,72.67,23.81,146.35,443523.94,2025-04-01,2025-09-30,183,0.3276455208476675
ONION WHITE,84.43,1.96,1.66,7.17,3798.56,2025-04-01,2025-08-05,43,0.846938775510204
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,81.0,1.21,0.51,3.0,12555.0,2025-04-06,2025-09-30,67,0.42148760330578516
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,49.0,1.48,0.71,4.0,2940.0,2025-04-02,2025-08-25,33,0.4797297297297297
ORGANIC MALAI PANEER 200g AKSHAYAKALPA,233.0,1.97,1.04,5.0,32593.0,2025-04-01,2025-09-30,118,0.5279187817258884
ORGANIC- CHEESE SLICES AKSHAYAKALPA,18.0,1.12,0.34,2.0,2160.0,2025-04-12,2025-09-21,16,0.30357142857142855
ORGANIC-PROBIOTIC CURD AKSHAYAKALPA,285.0,2.18,1.29,7.0,15675.0,2025-04-01,2025-09-30,131,0.591743119266055
OUTSIDE YELLOW MELON Kg,161.7,4.26,2.86,13.33,6451.6,2025-04-01,2025-06-06,38,0.6713615023474179
PALAK GREEN,1811.05,9.95,3.13,20.0,163396.09,2025-04-01,2025-09-30,182,0.314572864321608
PALLI GROUND NUT KARAM 100g VELLANKI FOODS,25.0,1.09,0.29,2.0,1628.0,2025-04-12,2025-09-20,23,0.2660550458715596
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,303.0,2.06,1.16,6.0,45715.0,2025-04-01,2025-09-30,147,0.5631067961165048
PALLI PEANUT VUNDALU 250g VELLANKI FOODS,82.0,1.3,0.59,3.0,12400.0,2025-04-14,2025-09-28,63,0.4538461538461538
PANASA POTTU,97.6,1.37,0.8,4.0,6240.0,2025-04-01,2025-09-29,71,0.583941605839416
PANDUMIRAPAKAYA 250g PICKLE AHA,13.0,1.08,0.29,2.0,1170.0,2025-04-02,2025-09-25,12,0.2685185185185185
PANEER 200G HERITAGE,1407.0,7.95,4.46,31.0,163385.4,2025-04-01,2025-09-30,177,0.5610062893081761
PANEER 200G ID FRESH,299.0,2.27,1.32,6.0,39895.0,2025-04-02,2025-09-30,132,0.5814977973568283
PANEER 200g SINGLE BLOCK MILKY MIST,280.0,2.37,1.55,8.0,35820.2,2025-04-01,2025-09-28,118,0.6540084388185654
PANEER 500G HERITAGE,447.0,2.06,1.45,9.0,123009.96,2025-04-01,2025-09-30,217,0.703883495145631
PAPPAYA,3768.19,20.59,7.56,49.18,223167.08,2025-04-01,2025-09-30,183,0.3671685284118504
PAPPAYA JUICE,31.0,1.35,0.57,3.0,1550.0,2025-04-01,2025-09-29,23,0.42222222222222217
PARVAL,349.78,2.23,1.29,5.61,26222.33,2025-04-02,2025-09-28,157,0.57847533632287
PASTEURISED BUTTER 100g AMUL,97.0,1.83,1.16,5.0,5954.0,2025-04-01,2025-09-13,53,0.633879781420765
PASUPU KOMMULU,37.29,0.28,0.21,1.03,6793.03,2025-04-01,2025-09-27,135,0.7499999999999999
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,20.0,1.11,0.32,2.0,9800.0,2025-04-06,2025-09-24,18,0.2882882882882883
PERI PERI CASHEW FLYBERRY,0.33,0.16,0.08,0.22,575.1,2025-09-27,2025-09-28,2,0.5
PERSIMMON FRUIT,5.8,0.72,0.63,1.76,4298.29,2025-06-23,2025-07-20,8,0.875
PGB SOYA CHUNKS 200G MEDIUM,18.0,1.29,0.47,2.0,1260.0,2025-04-09,2025-09-20,14,0.3643410852713178
PINE APPLE,706.0,3.94,2.15,11.0,66681.0,2025-04-01,2025-09-30,179,0.5456852791878173
PINE APPLE JUICE,70.0,1.56,0.94,5.0,6900.0,2025-04-01,2025-09-29,45,0.6025641025641025
