product,total_revenue,total_quantity,revenue_per_unit
FRESH PANEER BLOCK 200g AMUL,2280.0,24.0,95.0
FRIED GRAM PUTANA 250g,7827.75,174.0,44.98706896551724
FRUIT BASKET 120 SADGURU,600.0,5.0,120.0
FRUIT BASKET 170 SADGURU,850.0,5.0,170.0
FRUIT BASKET 200,675.0,3.0,225.0
FRUIT BASKET 200 SADGURU,2000.0,10.0,200.0
FRUIT BASKET 240 SADGURU,240.0,1.0,240.0
FRUIT BASKET 250 RAJU,1330.0,5.0,266.0
FRUIT BASKET 300 SADGURU,900.0,3.0,300.0
FRUIT BASKET 350 RAJU,3150.0,9.0,350.0
FRUIT BASKET 450 SADGURU,320.0,2.0,160.0
FRUIT BOWL NRG,1260.0,28.0,45.0
FRUIT BREAD 200g SML SPENCERS AKSHAYA NANDA,1980.0,66.0,30.0
FRUIT N NUT 150g DARK CHOCOLATE AMUL,5980.0,30.0,199.33333333333334
FRUIT YOGHURT BB 100g MILKYMIST,4830.0,161.0,30.0
FRUIT YOGURT 75g ALPHONSO MANGO EPIGAMIA,3605.0,103.0,35.0
FRUIT YOGURT 75g STRAWBERRY EPIGAMIA,4515.0,129.0,35.0
FULL CREAM MILK 500ml HERITAGE,211274.0,5117.0,41.28864569083447
FlyberryAlmondRoastedSalted,236.0,0.12,1966.6666666666667
FlyberryBrazilNut,16905.0,4.82,3507.2614107883815
FlyberryCashew180,2204.0,1.1,2003.6363636363635
FlyberryHazelnut,3176.8,1.68,1890.9523809523812
FlyberryMacadamia,3729.0,0.67,5565.671641791045
FlyberryMelonSeeds,9004.0,9.15,984.0437158469945
FlyberryPeriPeriAlmond,132.0,0.07,1885.7142857142856
FlyberryPrunes,1255.54,0.71,1768.3661971830986
G ELAICHI 50g,29610.0,127.0,233.1496062992126
GAJANAN ORANGE PRM HMT RAW RICE 1Kg,2890.0,34.0,85.0
GAJANAN ORANGE PRM HMT RAW RICE 5Kg,7140.0,17.0,420.0
GAJANAN ORANGE PRM HMT RICE 1Kg,1360.0,17.0,80.0
GAJANAN ORANGE PRM HMT RICE 5Kg,8085.0,21.0,385.0
GAJANAN TELANGANA SONA RICE 1Kg,3075.0,41.0,75.0
GAJANAN TELANGANA SONA RICE 5Kg,8820.0,26.0,339.2307692307692
GARAM MASALA 100g VELLANKI FOODS,708.0,10.0,70.8
GARLIC,181961.57,1121.55,162.24115732691365
GARLIC PEELED BOX,26630.8,415.0,64.17060240963855
GARLIC PICKLE 250g AHA,400.0,4.0,100.0
GAVVALU SWEET 250G VELLANKI FOODS,51995.0,369.0,140.90785907859077
GEMS KG FLYBERRY,3252.0,5.38,604.460966542751
GHEE 200ML PET JAR MILKY MIST,1650.0,9.0,183.33333333333334
GHEE ARISELU 250g VELLANKI FOODS,33515.0,196.0,170.99489795918367
GINGER,162048.46,1604.11,101.0207903448018
GINGER GARLIC PASTE 250G VELLANKI FOODS,8370.0,72.0,116.25
GINGER PICKLE 250G VELLANKI FOODS,6530.0,56.0,116.60714285714286
GINGER PICKLE 250g AHA,1600.0,16.0,100.0
GINGER PICKLE 500g AHA,1000.0,5.0,200.0
GOLD DROP SUNFLOWER OIL 1Lt pouch,28504.2,180.0,158.35666666666668
GOLDEN COW GHEE 500 ML HERITAGE,19875.0,53.0,375.0
GOLDEN KIWI FRUIT BIG,395.0,5.0,79.0
GOLDEN KIWI SMALL,109152.55,1687.0,64.70216360403083
GONGURA PANDU MIRAPAKAYA PICKLE  500g AHA,874.99,5.0,174.998
GONGURA PANDU MIRAPAKAYA PICKLE 250g  AHA,810.0,9.0,90.0
GONGURA PICKLE 250g  AHA,1440.0,16.0,90.0
GONGURA PICKLE 250g VELLANKI FOODS,2915.0,24.0,121.45833333333333
GONGURA PICKLE 500g  AHA,525.0,3.0,175.0
GONGURA(PUNTIKURA),42112.0,630.23,66.82004982308047
